Aapua;66.86083, 23.51889
Aareavaara;67.44222, 23.48194
Abbekås;55.39444, 13.6
Abborrberget;59.38333, 17.04444
Abborrträsk;65.44917, 19.385
Abisko;68.35, 18.817
Abrahamsby;59.80278, 18.17222
Adak;65.35, 18.59444
Agerum;56.15694, 14.63833
Aggarp;55.49611, 13.23306
Agnäs;63.84917, 19.26361
Agunnaryd;56.7475, 14.14472
Albacken;62.77944, 16.00944
Alberga, Eskilstuna kommun;59.28056, 16.11667
Alboga (södra delen);58.46222, 16.32306
Alborga;60.65278, 17.06722
Albrunna;56.32528, 16.40667
Alby, Ånge kommun;62.4939, 15.4782472
Alfta;61.35, 16.083
Algustorp;56.21806, 13.87861
Algutsrum;56.68083, 16.53028
Alingsås;57.933, 12.533
Allarp, Klippans kommun;56.03972, 13.2625
Allarp, Laholms kommun;56.44944, 12.94278
Allerum;56.11, 12.69194
Allsta (norra delen);62.335, 17.2317
Almo;60.76333, 14.85056
Almunge;59.87528, 18.04667
Almunge kyrkby;59.86889, 18.07083
Almvik, Södertälje kommun;59.10306, 17.43972
Alnarp;55.65833, 13.08333
Alnaryd;56.3425, 15.43278
Alsike;59.75778, 17.76333
Alsjön;57.86111, 12.30278
Alstad;55.45361, 13.20472
Alster;59.39778, 13.61361
Alsterbro;56.94306, 15.91389
Alstermo;56.97472, 15.65306
Alstugorna;56.22833, 15.58444
Alunda;60.067, 18.083
Alvesta;56.90194, 14.56
Alvesta kommun;56.90194, 14.56
Alvhem;58.00722, 12.15556
Alvik, Leksands kommun;60.75472, 14.87056
Alvik, Luleå kommun;65.56306, 21.78111
Ambjörby;60.5, 13.18
Ambjörnarp;57.42222, 13.29167
Ammarnäs;65.95778, 16.20889
Ammenäs;58.31389, 11.825
Andalen;57.7, 11.75
Andersbo och Sågsbo;60.77194, 15.3925
Anderslöv;55.43889, 13.31667
Anderstorp;57.283, 13.633
Aneby;57.83889, 14.81611
Aneby kommun;57.83889, 14.81611
Angelstad;56.82639, 13.76556
Angered (tätort);57.783, 12.1
Ankarsrum;57.70028, 16.33194
Ankarsvik;62.372922, 17.40994
Anneberg, Kungsbacka kommun;57.53917, 12.10111
Anneberg, Nässjö kommun;57.72417, 14.80417
Annelund;57.99167, 13.09167
Annelöv;55.83667, 13.01972
Ansmark;63.74472, 20.13583
Aplared;57.65, 13.067
Arboga;59.395, 15.84056
Arboga kommun;59.39389, 15.83917
Arbrå;61.483, 16.383
Arentorp;58.24167, 12.87389
Arild;56.275, 12.57306
Arjeplog;66.033, 17.95
Arkelstorp;56.17472, 14.28528
Arkhyttan;60.44167, 15.88806
Arkösund;58.483, 16.933
Arnemark;65.48889, 21.21528
Arnäsvall;63.31872139, 18.79552472
Arnö, Nyköpings kommun;58.72917, 17.01861
Arontorp;56.64417, 16.53139
Arrie;55.517, 13.083
Arvidsjaur;65.583, 19.167
Arvika;59.65, 12.617
Arvslindan;60.533, 15.15
Asby;57.90389, 15.205
Ask, Svalövs kommun;55.9633639, 13.2537472
Askeby;58.40833, 15.85222
Askersby, Örebro kommun;59.15, 15.475
Askersund;58.867, 14.9
Askeröd;55.75889, 13.59444
Asketveten;58.867, 12.217
Asmundtorp;55.8857, 12.9475
Aspa, Nyköpings kommun;58.92722, 17.1
Aspeboda;60.55833, 15.49167
Aspeå;63.53583, 19.36806
Asplund (ort);59.73222, 18.3725
Attarp, Hässleholms kommun;56.14333, 13.83944
Attmar;62.3129472, 17.0510833
Auktsjaur;65.747048, 19.408164
Ausås;55.16556, 12.88889
Avan;65.68028, 21.80361
Avaträsk;64.33611, 16.27694
Avesta;60.14556, 16.16833
Avesta kommun;60.14556, 16.16833
Axamo;57.77722, 14.07361
Axelfors;57.44167, 13.09444
Axelstorp;56.40556, 12.84583
Axeltofta;55.8607, 12.8906
Axelvold;55.96998278, 13.09506222
Axmar by;61.00167, 17.11889
Axvall;58.383, 13.567
Backa och Smeberg;58.8, 11.567
Backa, Hedemora kommun;60.25833, 16.01528
Backa, Rättviks kommun;60.92389, 15.12083
Backa, Säters kommun;60.4, 15.63833
Backaryd;56.34611, 15.15167
Backberg;60.617, 16.617
Backe, Strömsunds kommun;63.80917, 16.41
Baggbo;60.42389, 15.27417
Baggetorp;59.00806, 16.06556
Balingsta;59.76028, 17.43361
Ballingslöv;56.21444, 13.84694
Balsby;56.07444, 14.20972
Baltak;58.15, 13.933
Bammarboda;59.5075, 18.46444
Banafjäl;63.28639, 19.03111
Bankekind;58.37472, 15.82528
Bankeryd;57.85833, 14.125
Bara;55.58083, 13.1825
Barkarö;59.55306, 16.50333
Barlingbo;56.6225, 16.0425
Barsebäck;55.77083, 12.95556
Barsebäckshamn;55.75583, 12.90583
Barum;56.11833, 14.36583
Baskarp;58.017, 14.133
Basttjärn;60.02194, 14.98
Bastuträsk, Norsjö kommun;64.78952806, 20.04382333
Beddingestrand;55.35833, 13.42917
Beden-Grevie;55.62694, 13.22028
Bellö;57.57417, 15.33444
Benareby;57.63889, 12.175
Benestad, Tomelilla kommun;55.52389, 13.90694
Bengtsfors;59.033, 12.217
Bengtsgården;57.64, 15.24694
Bengtsheden;60.70056, 15.87222
Bensbyn;65.64167, 22.23333
Bensjö;62.70278, 15.45806
Berg, Bergs kommun;62.57611, 14.28694
Berg, Hofors kommun;60.51361, 16.44556
Berg, Linköpings kommun;58.48972, 15.53056
Berg, Skövde kommun;58.5, 13.783
Berg, Åtvidabergs kommun;58.217799, 16.023876
Berga, Högsby kommun;57.216667, 16.03278
Bergagård;56.97778, 12.57556
Bergeforsen;62.5280639, 17.3858278
Berghem, Marks kommun;57.5, 12.583
Bergkarlås;61.03361, 14.64667
Bergkvara;56.39028, 16.07944
Bergom;63.233125, 18.574575
Bergsgården;60.66139, 15.56
Bergshammar, Nyköpings kommun;58.74167, 16.91583
Bergshamra, Norrtälje kommun;59.63889, 18.50278
Bergsjö;61.983, 17.067
Bergströmshusen;55.67778, 13.17361
Bergsviken;65.31111, 21.38333
Bergvik;61.26, 16.83417
Bergvik, Ekerö kommun;59.3, 17.67
Bestorp;58.23444, 15.73083
Betsele;64.63306, 18.55111
Bettna;58.90611, 16.64194
Bie;59.08833, 16.21444
Billdal (tätort);57.57611, 11.94667
Billeberga;55.88291389, 12.9990875
Billesholm;56.05, 12.967
Billinge;55.9625, 13.33333
Billingsfors;58.983, 12.25
Billsta;63.3220139, 18.5116972
Billsta, Södertälje kommun;59.08056, 17.53
Bispberg;60.35806, 15.78417
Bjurfors, Norbergs kommun;60.13306, 16.12528
Bjurholm;63.93117, 19.21617
Bjursås;60.717, 15.417
Bjuråker;61.86028667, 16.56478917
Bjuv;56.08611, 12.91944
Bjuvs kommun;56.083, 12.917
Bjäresjö;55.4625, 13.75083
Bjärlöv;56.11278, 14.08806
Bjärnum;56.28944, 13.71139
Bjärred;55.717, 13.017
Bjärsjölagård;55.72306, 13.68778
Bjässhammarn;62.3634694, 17.0618556
Bjästa;63.2, 18.5
Björbo;60.45806, 14.7175
Björboholm;57.875, 12.32778
Björke, Gävle kommun;60.76556, 17.19111
Björkedal;56.1575, 13.67722
Björkeryd;56.25778, 15.51028
Björkesdal;57.70833, 12.38611
Björketorp;57.425, 12.525
Björkfors, Kinda kommun;58.01667, 15.90639
Björklinge;60.033, 17.55
Björksele;64.98778, 18.53194
Björkshult;57.08389, 15.69111
Björksätter;58.31222, 15.87722
Björkvik;58.83444, 16.52083
Björkviken;56.88139, 16.69028
Björkäng och Smedsgård;57.0141972, 12.3513806
Björkå;63.1766333, 17.59335
Björköby, Vetlanda kommun;57.51972, 14.90528
Björkön;62.2347361, 17.5458694
Björlanda;57.76167, 11.82472
Björna;63.55056, 18.59889
Björnhult;57.3, 16.283
Björnhult, Grönestad och Hästebäcken;58.05833, 14.19167
Björnlunda;59.06611, 17.15972
Björnsholm;57.950707, 16.440482
Björnstorp;55.64528, 13.40694
Björnänge;63.37917, 13.14583
Björnö, Växjö kommun;57.17333, 14.60639
Björnömalmen och Klacknäset;59.22222, 18.52222
Björsjö;60.03694, 15.33694
Björsäter;58.333623, 16.020722
Blackstad;57.79361, 16.19667
Blackstalund;59.9625, 17.38333
Blankaholm;57.59111, 16.52528
Bleket;57.95, 11.567
Blentarp;55.583, 13.6
Blidsberg;57.92972, 13.49222
Blidö;59.61278, 18.90139
Blikstorp;58.28111, 14.0575
Blixtorp;57.0963972, 12.3477306
Blomstermåla;56.98194, 16.33111
Blötberget;60.12556, 15.06583
Boalt, Östra Göinge kommun;56.38139, 14.16111
Bockara;57.26306, 16.06639
Boda, Rättviks kommun;61.01139, 15.21194
Bodafors;57.50611, 14.69972
Bodarna, Gagnefs kommun;60.54361, 15.12806
Bodarna, Uppsala kommun;59.79, 17.6075
Bodarne, Uddsarvet och Åkre;60.4225, 15.65722
Bodbyn;64.00417, 20.39028
Boden;65.833, 21.717
Bodås;60.42583, 16.44833
Boholmarna;56.65139, 16.29722
Bokeslund;55.9412972, 13.58278
Boliden;64.87694, 20.39111
Bollebygd;57.667, 12.567
Bollnäs;61.35, 16.4
Bomsarvet, Blecktorp och Gerbergärd;60.54444, 15.42528
Bondstorp;57.58917, 13.92361
Bonnarp;56.07472, 13.19
Bonäs;61.07222, 14.48722
Boo;59.32111, 18.24472
Bor, Värnamo kommun;57.11306, 14.17056
Borensberg;58.56389, 15.28167
Borggård, Finspångs kommun;58.72917, 15.55583
Borgholm;56.87806, 16.66167
Borgholms kommun;56.87806, 16.66167
Borgsjöbyn;62.54017, 15.90933
Borgstena;57.87944, 13.02472
Borgunda;58.29306, 13.80111
Borgvattnet;63.42222, 15.825
Borgåsen;59.69528, 16.18639
Borgåsund;59.51028, 16.26194
Borlänge;60.48278, 15.43639
Borlänge kommun;60.48278, 15.43639
Borrby;55.45778, 14.17861
Borås;57.717, 12.933
Bosnäs;57.667, 12.85
Bosön;59.38111, 18.18139
Botkyrka kommun;59.2, 17.833
Botsmark;64.25, 20.266667
Bottna, Östergötland;58.39861, 16.67111
Bottnaryd;57.76944, 13.82611
Bovallstrand;58.475, 11.32222
Boxholm;58.19639, 15.05194
Boxholms kommun;58.19639, 15.05194
Brandbo;59.95361, 15.89056
Brandstorp;58.10194, 14.19083
Brantevik;55.51389, 14.34583
Brastad;58.383, 11.483
Brattfors, Filipstads kommun;59.66167, 14.00306
Braås;57.06222, 15.05361
Bredared;57.80556, 12.90278
Bredaryd;57.17583, 13.7375
Bredbyn;63.45, 18.1
Bredsjö;59.83167, 14.73389
Bredsättra;56.84417, 16.79417
Bredviken;65.83111, 23.21083
Bregårdsängarna;59.346279, 14.47556
Brevens bruk;59.01111, 15.58333
Brevikshalvön;59.233, 18.333
Brink (norra delen);59.11306, 17.80806
Brittatorp;57.03556, 14.94
Bro, Upplands-Bro kommun;59.517, 17.65
Broaryd;57.11944, 13.25833
Broby, Östra Göinge kommun;56.255, 14.07583
Brodalen;58.4175, 11.48056
Broddbo;59.98722, 16.47778
Broddetorp;58.30528, 13.60694
Brokind;58.217, 15.683
Bromölla;56.075, 14.46722
Bromölla kommun;56.067, 14.483
Brottby;59.56667, 18.25
Bruket;59.1675, 18.02667
Bruksvallarna;62.64222, 12.43444
Brunflo;63.083, 14.817
Brunn, Värmdö kommun;59.285, 18.42361
Brunna, Upplands-Bro kommun;59.5, 17.75
Brunnsberg;61.28417, 13.92111
Brunnsta, Håbo kommun;59.61083, 17.47778
Bruzaholm;57.64278, 15.27
Bräcke;62.75056, 15.42167
Bräkne-Hoby;56.23028, 15.11639
Brändön;65.6975, 22.33444
Brännberg;65.78611, 21.23194
Brännebrona;58.575, 13.60556
Brännehylte;57.31639, 13.85222
Brännland, Umeå kommun;63.883333, 20.066667
Bränntorp;58.86583, 16.05417
Brännö;57.63611, 11.77778
Brålanda;58.56111, 12.35278
Brån;63.909722, 19.854472
Brösarp;55.72306, 14.10417
Bröta och Bröthagen;59.10556, 17.86611
Bröttjärna;60.5025, 15.02083
Bua;57.2361472, 12.113972
Bullandö;59.30639, 18.65472
Bullmark;64.02861, 20.48389
Bunkeflostrand;55.55, 12.91667
Bunn;57.98889, 14.51667
Bunsta;62.25333, 17.32733
Burens;60.16806, 15.16361
Bureå;64.61778, 21.20056
Burgsvik;57.03111, 18.27333
Burlövs egnahem;55.63611, 13.10278
Burlövs kommun;55.633, 13.067
Burs;57.25083, 18.51194
Burseryd;57.2, 13.28333
Burträsk;64.51944, 20.65639
Buskhyttan;58.76639, 17.01806
Bussemåla;56.18306, 15.27111
Butbro;58.71639, 15.83389
Byarum;57.54139, 14.14361
Bygdeå;64.06111, 20.85417
Bygdsiljum;64.35056, 20.505
Byske;64.95333, 21.20389
Bystaden;57.210778, 12.2196306
Byxelkrok;57.325, 17.00667
Bäck och Tomming;62.5968056, 17.0528083
Bäckaskog;56.04528, 14.33556
Bäckaskog, Sollefteå kommun;63.1328056, 17.0138306
Bäckebo;56.88833, 16.066667
Bäckefors;58.80833, 12.16111
Bälganet;56.38722, 15.03111
Bälgviken;59.23806, 16.45833
Bälinge, Uppsala kommun;59.94722, 17.54167
Bärby;59.85722, 17.81333
Bäsksele;64.633, 16.883
Bäsna;60.53917, 15.20528
Bålsta;59.56778, 17.52972
Bårekulla;57.68611, 12.18889
Bårslöv;56.00861, 12.80694
Båstad;56.433, 12.833
Båstads kommun;56.417, 12.867
Båtvik;64.967, 21.283
Böda;57.25944, 17.035
Böksholm;57.085, 15.005
Böle, Luleå kommun;65.88833, 22.25028
Bölen och Skulnäs;63.1656306, 18.4208111
Bölse;56.952472, 12.393528
Bönan;60.73833, 17.30944
Börringe;55.50556, 13.35833
Börringe station;55.49722, 13.33194
Bössebacken;56.14194, 14.10278
Böste läge;55.34361, 13.315
Charlottenberg;59.883, 12.283
Dagsås;57.06306, 12.48278
Dalarö;59.133, 18.4
Dalby;55.65, 13.217
Dalkarlsberg;59.43333, 14.86667
Dalkarlså;64.0419194, 20.8621611
Dals Långed;58.92778, 12.30278
Dals Rostock;58.80833, 12.42222
Dalsjöfors;57.717, 13.083
Dalstorp;57.60278, 13.52222
Danderyds kommun;59.417, 18.05
Danholn;60.61972, 15.78917
Dannemora;60.2, 17.85833
Dannike;57.68778, 13.22917
Degeberga;55.83, 14.09028
Degerbäcken;65.85944, 21.405
Degerfors;59.233, 14.433
Degerhamn;56.35611, 16.41611
Degerön;65.550006, 22.666683
Deje;59.6, 13.467
Dekarsön;63.26117, 18.80867
Delary;56.54722, 13.95389
Dimbo;58.16944, 13.82028
Dingelvik;58.933, 12.233
